"Species" "Source" "Group" "GBIF_accepted" "GBIF_rank" "originCH" "originEUR" "Swiss_status" "IUCN_status" "Genus" "Family" "Order" "Class" "Phylum" "GUILDE.1" "GUILDE.2" "GUILDE.3" "GUILDE.4" "GUILDE.5" "GUILDE.6" "GUILDE.7" "GUILDE.8" "GUILDE.9" "GUILDE.10" "GUILDE.11" "GUILDE.12" "GUILDE.13" "GUILDE.14" "GUILDE.15" "GUILDE.16" "GUILDE.17" "GUILDE.18" "GUILDE.19" "GUILDE.20" "GUILDE.21" "GUILDE.22" "GUILDE.23" "GUILDE.24" "GUILDE.25" "GUILDE.26" "BodyLength_max" "BEl" "VEp" "REs" "OGp" "RMl" "BLs" "PFv" "PFs" "CPt" "Litter_size" "CAT_Litter_size" "Age_at_maturity_y" "CAT_Age_at_maturity_y" "Longevity_max_y" "CAT_Longevity_max_y" "Diet" "Diet_Inv" "Diet_Vert" "Diet_Eggs" "Diet_Scav" "Diet_Phyto" "Diet_Plant" "Diet_Parasit" "Diet_Other" "Fos" "Ter" "Aqu" "Arb" "Aer" "Habitat" "Feeding_habitat" "Reprod_habitat" "Spawning_habitat" "Flow_habitat" "Salt_habitat" "MinTemp" "MaxTemp" "Migration_type" "Migration_dist" "RangeSize_km2" "MISSING_ALL_TRAITS"
"Alburnoides kubanicus" "EEA" "Fishes" "Alburnoides kubanicus Bănărescu, 1964" "SPECIES" NA "Yes" NA "LEAST_CONCERN" "Alburnoides" "Cyprinidae" "Cypriniformes" "Actinopterygii" "Chordata" 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 330.64 3.67780698544 0.48616893736 0.5000388044 0.391080304 0.34700236056 0.44507711524 0.26094002208 0.1641309098 2.68267702092 196327.24 "fe1" 2.7 "ma3" 9.98 "ls1" "Omnivorous" 1 1 0 0 0 0 0 1 0 0 1 0 0 "bentic" "wc" "lith" "rheo" "limno" "fre" -8.092 30.776 "pot" "short" 37491.799521431 "NO"
"Alburnoides maculatus" "EEA" "Fishes" "Alburnoides maculatus (Kessler, 1859)" "SPECIES" NA "Yes" NA "VULNERABLE" "Alburnoides" "Cyprinidae" "Cypriniformes" "Actinopterygii" "Chordata" 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 294.04 4.12469528692 0.453552741 0.46028218216 0.28435479688 0.40459784332 0.46296173012 0.25207647304 0.16058972432 2.48806803212 306893.44 "fe1" 2.54 "ma3" 12.02 "ls1" "Omnivorous" 1 1 0 0 0 0 0 0 0 0 1 0 0 "bentic" "ben" "lith" "rheo" "limno" "fre" -7.964 30.912 "pot" "short" 22374.1468300049 "NO"
"Alburnoides ohridanus" "EEA" "Fishes" "Alburnoides ohridanus (Karaman, 1928)" "SPECIES" NA "Yes" NA "VULNERABLE" "Alburnoides" "Cyprinidae" "Cypriniformes" "Actinopterygii" "Chordata" 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 310.48 3.95272001168 0.50807113508 0.50836451404 0.44388033604 0.37362642292 0.45468301352 0.26850176376 0.17043139508 2.7912160966 406530.6 "fe1" 2.32 "ma2" 12.14 "ls1" "Omnivorous" 1 1 0 0 0 0 0 0 0 0 1 0 0 "bentic" "wc" "phylith" "eury" "limno" "fre" -7.964 30.308 "pot" "short" 348.39331223541 "NO"
"Alburnoides prespensis" "EEA" "Fishes" "Alburnoides prespensis (Karaman, 1924)" "SPECIES" NA "Yes" NA "VULNERABLE" "Alburnoides" "Cyprinidae" "Cypriniformes" "Actinopterygii" "Chordata" 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 340.88 3.949293266 0.4953717062 0.49938159884 0.40612103836 0.3752062864 0.46123527288 0.260432258 0.16913197168 2.5817876702 260357.44 "fe2" 2.58 "ma1" 8.08 "ls1" "Omnivorous" 1 1 0 0 0 0 0 0 0 0 1 0 0 "bentic" "wc" "lith" "rheo" "limno" "fre" -8.112 30.716 "pot" "short" 318.662821025835 "NO"
"Alburnoides rossicus" "EEA" "Fishes" "Alburnoides rossicus Berg, 1924" "SPECIES" NA "Yes" NA "LEAST_CONCERN" "Alburnoides" "Cyprinidae" "Cypriniformes" "Actinopterygii" "Chordata" 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 629.6 4.1170330742 0.45682489276 0.42075441928 0.30147433228 0.34559511048 0.45834437348 0.22362921276 0.15635001388 2.59843716024 266268.04 "fe3" 3.08 "ma3" 12.46 "ls3" "Omnivorous" 1 1 0 0 0 0 0 0 0 0 1 0 0 "bentic" "ben" "lith" "rheo" "rheo" "fre" -8.32 30.444 "pot" "short" 1712601.95453628 "NO"
"Alburnus albidus" "EEA" "Fishes" "Alburnus albidus (Costa, 1838)" "SPECIES" NA "Yes" NA "VULNERABLE" "Alburnus" "Cyprinidae" "Cypriniformes" "Actinopterygii" "Chordata" 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 200 3.399537805 0.580208499 0.480494606 0.525608122 0.313874884 0.403177451 0.385706012 0.1680655 3.119769486 253698.08 "fe1" 2.02 "ma2" 8.82 "ls1" "Omnivorous" 1 1 0 0 0 0 0 0 0 0 1 0 0 "bentic" "wc" "lith" "eury" "limno" "fre" -7.964 30.852 "pot" "short" 50579.2558514203 "NO"
"Alburnus alborella" "InfoSpecies" "Fishes" "Alburnus arborella (Bonaparte, 1841)" "SPECIES" NA NA NA "LEAST_CONCERN" "Alburnus" "Cyprinidae" "Cypriniformes" "Actinopterygii" "Chordata" 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 279.56 3.68467117776 0.4989701258 0.50721065128 0.40672634804 0.35440569616 0.44277082396 0.28594681896 0.16090783632 2.49620866008 350920.04 "fe1" 2.2 "ma1" 10.06 "ls1" "Omnivorous" 1 1 0 0 0 0 0 0 0 0 1 0 0 "bentic" "wc" "phylith" "rheo" "limno" "fre" -8.104 30.776 "pot" "short" 451836.406286787 "NO"
"Alburnus alburnus" "SPEED2ZERO" "Fishes" "Alburnus alburnus (Linnaeus, 1758)" "SPECIES" "INN" NA "LC" "LEAST_CONCERN" "Alburnus" "Cyprinidae" "Cypriniformes" "Actinopterygii" "Chordata" 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 250 4.253526855 0.559971056 0.540985824 0.559971056 0.441100168 0.429576461 0.2766026 0.152191702 1.942321838 416321.24 "fe2" 1.94 "ma2" 11.28 "ls1" "Omnivorous" 1 1 0 0 0 0 0 0 0 0 1 0 0 "bentic" "wc" "phylith" "eury" "eury" "frb" -7.976 30.852 "pot" "short" 7213077.00336118 "NO"
"Alburnus arborella" "SPEED2ZERO" "Fishes" "Alburnus arborella (Bonaparte, 1841)" "SPECIES" "INN" NA "CR" "LEAST_CONCERN" "Alburnus" "Cyprinidae" "Cypriniformes" "Actinopterygii" "Chordata" 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 127 4.088881818 0.354663636 0.611174997 0.381927273 0.458499322 0.442709091 0.145736364 0.162780667 2.158013913 301881.4 "fe1" 2.84 "ma1" 10.22 "ls1" "Omnivorous" 1 1 0 0 0 0 0 0 0 0 1 0 0 "bentic" "wc" "lith" "rheo" "limno" "fre" -8.204 30.776 "pot" "short" 129721.996692659 "NO"
"Alburnus belvica" "EEA" "Fishes" "Alburnus belvica Karaman, 1924" "SPECIES" NA "Yes" NA "VULNERABLE" "Alburnus" "Cyprinidae" "Cypriniformes" "Actinopterygii" "Chordata" 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 220 4.03104469 0.637553245 0.614438664 0.6943181 0.337188803 0.419771136 0.340625226 0.168893506 2.82239663728 350105.48 "fe1" 2.36 "ma2" 9.78 "ls1" "Omnivorous" 1 1 0 0 0 0 0 0 0 0 1 0 0 "bentic" "wc" "phylith" "eury" "limno" "frb" -8.18 30.912 "pot" "short" 318.662821025835 "NO"
"Alburnus chalcoides" "EEA" "Fishes" "Alburnus chalcoides (Güldenstädt, 1772)" "SPECIES" NA "No" NA "LEAST_CONCERN" "Alburnus" "Cyprinidae" "Cypriniformes" "Actinopterygii" "Chordata" 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 400 4.304443236 0.516448787 0.499901961 0.555920251 0.568627451 0.478271471 0.328975749 0.142962963 2.427996763 153146.08 "fe1" 2.02 "ma1" 9.78 "ls1" "Omnivorous" 1 1 0 0 0 0 0 0 0 0 1 0 0 "bentic" "wc" "lith" "eury" "limno" "frb" -8.052 30.912 "pot" "medium" 627072.093379888 "NO"
"Alburnus hohenackeri" "EEA" "Fishes" "Alburnus hohenackeri Kessler, 1877" "SPECIES" NA "No" NA "LEAST_CONCERN" "Alburnus" "Cyprinidae" "Cypriniformes" "Actinopterygii" "Chordata" 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 263.16 4.07538271016 0.48972613708 0.46577504648 0.36652969612 0.3564241354 0.48936519512 0.25469487196 0.16660260012 2.43534516764 236577.84 "fe1" 2.72 "ma1" 11.88 "ls1" "Omnivorous" 1 1 0 0 0 0 0 0 0 0 1 0 0 "bentic" "ben" "lith" "rheo" "rheo" "fre" -8.092 30.64 "pot" "short" 283365.560984887 "NO"
"Alburnus istanbulensis" "EEA" "Fishes" "Alburnus istanbulensis Battalgil, 1941" "SPECIES" NA "No" NA "LEAST_CONCERN" "Alburnus" "Cyprinidae" "Cypriniformes" "Actinopterygii" "Chordata" 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 236.92 3.82921286444 0.50163378744 0.52120706464 0.40873420568 0.3343193348 0.47781770928 0.2787252354 0.16100205088 2.54089015152 248090.68 "fe1" 2.38 "ma2" 11.36 "ls1" "Omnivorous" 1 1 0 0 0 0 0 0 0 0 1 0 0 "bentic" "wc" "lith" "rheo" "limno" "fre" -8.272 30.988 "pot" "short" 21055.0162189399 "NO"
"Alburnus leobergi" "EEA" "Fishes" "Alburnus leobergi Freyhof & Kottelat, 2007" "SPECIES" NA "Yes" NA "LEAST_CONCERN" "Alburnus" "Cyprinidae" "Cypriniformes" "Actinopterygii" "Chordata" 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 257.24 4.29724540256 0.48192107144 0.44760452008 0.30466952216 0.37533202276 0.50417254152 0.25266403628 0.16092606108 2.3615689552 360828.16 "fe1" 2.66 "ma3" 12.18 "ls1" "Omnivorous" 1 1 0 0 0 0 0 0 0 0 1 0 0 "bentic" "ben" "lith" "rheo" "rheo" "fre" -8.052 31.32 "pot" "short" 169942.314930748 "NO"
"Alburnus macedonicus" "EEA" "Fishes" "Alburnus macedonicus Karaman, 1928" "SPECIES" NA "Yes" NA "CRITICALLY_ENDANGERED" "Alburnus" "Cyprinidae" "Cypriniformes" "Actinopterygii" "Chordata" 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 240.92 4.0277113616 0.53087477828 0.50410536528 0.45076177344 0.38312276888 0.47465009684 0.32058954412 0.17270336088 2.5228024486 157311.6 "fe1" 2.54 "ma2" 11.52 "ls1" "Omnivorous" 1 1 0 0 0 0 0 0 0 0 1 0 0 "bentic" "wc" "lith" "rheo" "limno" "fre" -7.988 30.368 "pot" "short" 42.0671580095062 "NO"
"Alburnus mandrensis" "EEA" "Fishes" "Alburnus mandrensis (Drensky, 1943)" "SPECIES" NA "Yes" NA "CRITICALLY_ENDANGERED" "Alburnus" "Cyprinidae" "Cypriniformes" "Actinopterygii" "Chordata" 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 187.96 3.953436971 0.50139594304 0.52790883168 0.42716616976 0.33326295796 0.47577225308 0.2771528242 0.16012399216 2.19355315152 189847.4 "fe1" 2.3 "ma1" 10.08 "ls1" "Omnivorous" 1 1 0 0 0 0 0 0 0 0 1 0 0 "bentic" "wc" "lith" "eury" "limno" "fre" -8.204 30.988 "pot" "short" 4624.22609827591 "NO"
"Alburnus mento" "EEA" "Fishes" "Alburnus mento (Heckel, 1837)" "SPECIES" NA "Yes" NA "LEAST_CONCERN" "Alburnus" "Cyprinidae" "Cypriniformes" "Actinopterygii" "Chordata" 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 222.04 3.76559882076 0.47014393336 0.4976409944 0.37217500396 0.38826807632 0.48100734756 0.25160397616 0.16535352128 2.73012954228 265481.8 "fe2" 2.26 "ma1" 12.02 "ls1" "Omnivorous" 1 1 0 0 0 0 0 0 0 0 1 0 0 "bentic" "wc" "lith" "eury" "limno" "fre" -8.192 31.32 "pot" "short" 2258.4775209668 "NO"
"Alburnus mentoides" "EEA" "Fishes" "Alburnus mentoides Kessler, 1859" "SPECIES" NA "Yes" NA "ENDANGERED" "Alburnus" "Cyprinidae" "Cypriniformes" "Actinopterygii" "Chordata" 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 274.64 4.01993506596 0.49078945 0.46980923228 0.4125141962 0.35513420544 0.4577372002 0.28331137864 0.15345517864 2.41896409728 211526.04 "fe2" 2.14 "ma1" 9.3 "ls1" "Omnivorous" 1 1 0 0 0 0 0 0 0 0 1 0 0 "bentic" "wc" "lith" "rheo" "limno" "fre" -8.372 30.172 "pot" "short" 14229.3561012509 "NO"
"Alburnus neretvae" "EEA" "Fishes" "Alburnus neretvae Buj, Sanda & Perea, 2010" "SPECIES" NA "Yes" NA "LEAST_CONCERN" "Alburnus" "Cyprinidae" "Cypriniformes" "Actinopterygii" "Chordata" 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 312.8 4.02388545464 0.47705153084 0.47603663408 0.40102229672 0.36906160696 0.46098153508 0.26365963312 0.15211243032 2.57756757764 501557.44 "fe1" 2.64 "ma3" 12.86 "ls1" "Omnivorous" 1 1 0 0 0 0 0 0 0 0 1 0 0 "bentic" "wc" "lith" "rheo" "limno" "fre" -8.028 30.776 "pot" "short" 11407.1219505593 "NO"
"Alburnus sarmaticus" "EEA" "Fishes" "Alburnus sarmaticus Freyhof & Kottelat, 2007" "SPECIES" NA "Yes" NA "ENDANGERED" "Alburnus" "Cyprinidae" "Cypriniformes" "Actinopterygii" "Chordata" 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 318.36 4.0061570116 0.492663641 0.47605970876 0.39150171772 0.36438242208 0.48154881564 0.25359941368 0.15575396656 2.52236252032 283475.64 "fe2" 3.22 "ma2" 12.82 "ls1" "Omnivorous" 1 1 0 0 0 0 0 0 0 0 1 0 0 "bentic" "wc" "lith" "rheo" "rheo" "fre" -8.204 31.32 "pot" "short" 184597.95798612 "NO"
"Alburnus schischkovi" "EEA" "Fishes" "Alburnus schischkovi (Drensky, 1943)" "SPECIES" NA "Yes" NA "ENDANGERED" "Alburnus" "Cyprinidae" "Cypriniformes" "Actinopterygii" "Chordata" 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 262.48 3.85577620204 0.5235925454 0.4944861006 0.4394271244 0.41555197368 0.43978404172 0.30014144388 0.16551943776 2.50764455092 102381.16 "fe1" 2.6 "ma1" 9.38 "ls1" "Omnivorous" 1 1 0 0 0 0 0 0 0 0 1 0 0 "bentic" "wc" "lith" "eury" "limno" "fre" -7.976 30.504 "pot" "short" 2693.03843230841 "NO"
